store,category,product_id,product_name,canonical_product_name,price,old_price,currency,unit_price,price_per_kg,price_per_piece,loyalty_required,loyalty_program,loyalty_price,discount_label,date_range,url,image_url,scraped_at
Tesco,Mléčné výrobky a vejce,4888,Acidofilní mléko Mlékárna Kunín 300 g,acidofilni_mleko_mlekarna_kunin,19.9,24.87,Kč,"6,63 Kč / 100 g",66.3,,True,Clubcard,19.9,-20% Clubcard platí do úterý 1. 9.,2026-08-24 - 2026-09-01,https://www.kupi.cz/letaky/tesco,https://img.kupi.cz/kupi/thumbs/acidofilni-mleko-kunin-1_170_340.jpg,2026-08-24T19:19:40+02:00
Albert,Mléčné výrobky a vejce,415,Actimel Danone 100 g,actimel_danone,69.9,134.42,Kč,"8,74 Kč / 100 g",87.4,,True,Můj Albert,69.9,-48% Můj Albert st 26. 8. – út 1. 9.,2026-08-26 - 2026-09-01,https://www.kupi.cz/letak/albert-hypermarket-letak-646?page=3&map=210925497,https://img.kupi.cz/kupi/thumbs/actimel-danone-1_170_340.jpg,2026-08-24T19:15:23+02:00
Albert,Mléčné výrobky a vejce,415,Actimel Danone 100 g,actimel_danone,79.9,133.17,Kč,"9,99 Kč / 100 g",99.9,,False,,,-40% st 26. 8. – út 1. 9.,2026-08-26 - 2026-09-01,https://www.kupi.cz/letak/albert-hypermarket-letak-646?page=3&map=210925500,https://img.kupi.cz/kupi/thumbs/actimel-danone-1_170_340.jpg,2026-08-24T19:15:23+02:00
Billa,Mléčné výrobky a vejce,415,Actimel Danone 100 g,actimel_danone,89.9,136.21,Kč,"7,49 Kč / 100 g",74.9,,False,,,-34% zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/billa-maly-letak-714?page=8&map=210902958,https://img.kupi.cz/kupi/thumbs/actimel-danone-1_170_340.jpg,2026-08-24T19:17:36+02:00
Billa,Mléčné výrobky a vejce,415,Actimel Danone 100 g,actimel_danone,99.9,133.2,Kč,"12,49 Kč / 100 g",124.9,,False,,,-25% platí do úterý 8. 9.,2026-08-24 - 2026-09-08,https://www.kupi.cz/letak/billa-letak-vase-oblibene-znacky-v-bille-4?page=8&map=210313659,https://img.kupi.cz/kupi/thumbs/actimel-danone-1_170_340.jpg,2026-08-24T19:17:36+02:00
Billa,"Maso, uzeniny a ryby",537036,Adámkův párek 100 g,adamkuv_parek,22.9,26.63,Kč,"22,90 Kč / 100 g",229.0,,False,,,-14% platí do úterý 8. 9.,2026-08-24 - 2026-09-08,https://www.kupi.cz/letak/billa-letak-na-ceste-za-jednickami?map=209932176,https://img.kupi.cz/kupi/thumbs/adamkuv-parek_170_340.jpg,2026-08-24T19:17:50+02:00
Albert,Nealko nápoje,194280,Ajurvédský čaj Samahan 100 g,ajurvedsky_caj_samahan,199.0,236.9,Kč,"199,00 Kč / 100 g",1990.0,,False,,,-16% st 26. 8. – út 1. 9.,2026-08-26 - 2026-09-01,https://www.kupi.cz/letak/albert-hypermarket-letak-646?page=44&map=211177800,https://img.kupi.cz/kupi/thumbs/ajurvedsky-caj-samahan_170_340.png,2026-08-24T19:16:28+02:00
Tesco,Mražené a instantní potraviny,38047,Aljašská treska filé bez kosti mražené Premium Mylord 300 g,aljasska_treska_file_bez_kosti_mrazene_premium_mylord,69.9,89.62,Kč,"23,30 Kč / 100 g",233.0,,True,Clubcard,69.9,-22% Clubcard platí do úterý 1. 9.,2026-08-24 - 2026-09-01,https://www.kupi.cz/letak/tesco-hypermarket-letak-362?page=8&map=210627240,https://img.kupi.cz/kupi/thumbs/aljasska-treska-file-bez-kosti-mrazene-premium-mylord_170_340.jpg,2026-08-24T19:19:51+02:00
Albert,Zdravá výživa,518784,Sušený ananas Emma 150 g,ananas,34.9,46.53,Kč,"23,27 Kč / 100 g",232.7,,False,,,-25% zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/albert-hypermarket-letak-645?page=44&map=210612342,https://www.kupi.cz/img/no_img/no_discounts.png,2026-08-24T19:17:06+02:00
Billa,Konzervy,6872,Kompot ananas Clever 825 g,ananas,59.9,69.65,Kč,"7,26 Kč / 100 g",72.6,,False,,,-14% platí do úterý 8. 9.,2026-08-24 - 2026-09-08,https://www.kupi.cz/letak/billa-letak-tak-dobre-ze-je-radost-grilovat-3?page=6&map=210904083,https://img.kupi.cz/kupi/thumbs/kompot-ananas-clever_170_340.jpg,2026-08-24T19:17:56+02:00
Tesco,Konzervy,1470,Kompot ananas Giana 565 g,ananas,49.9,59.4,Kč,"8,83 Kč / 100 g",88.3,,True,Clubcard,49.9,-16% Clubcard platí do úterý 1. 9.,2026-08-24 - 2026-09-01,https://www.kupi.cz/letak/tesco-hypermarket-letak-362?page=23&map=210632985,https://img.kupi.cz/kupi/thumbs/kompot-ananas-giana_170_340.jpg,2026-08-24T19:19:48+02:00
Lidl,Pečivo,167665,Anglická bageta 63 g,anglicka_bageta,12.9,16.75,Kč,"20,48 Kč / 100 g",204.8,,False,,,-23% platí do neděle 30. 8.,2026-08-24 - 2026-08-30,https://www.kupi.cz/letak/lidl-letak-od-pondeli-100?page=14&map=211181079,https://img.kupi.cz/kupi/thumbs/anglicka-bageta_170_340.png,2026-08-24T19:19:05+02:00
Albert,"Maso, uzeniny a ryby",215,Anglická slanina 100 g,anglicka_slanina,19.9,24.87,Kč,"19,90 Kč / 100 g",199.0,,False,,,-20% zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/albert-hypermarket-letak-645?page=17&map=210608340,https://img.kupi.cz/kupi/thumbs/anglicka-slanina_170_340.jpg,2026-08-24T19:15:39+02:00
Albert,"Maso, uzeniny a ryby",396316,Anglická slanina Albertovo uzenářství 150 g,anglicka_slanina_albertovo_uzenarstvi,29.9,45.3,Kč,"19,93 Kč / 100 g",199.3,,False,,,-34% st 26. 8. – út 1. 9.,2026-08-26 - 2026-09-01,https://www.kupi.cz/letak/albert-hypermarket-letak-646?page=18&map=210925950,https://img.kupi.cz/kupi/thumbs/anglicka-slanina-albertovo-uzenarstvi-1_170_340.jpg,2026-08-24T19:15:46+02:00
Lidl,"Maso, uzeniny a ryby",15533,Anglická slanina Pikok 100 g,anglicka_slanina_pikok,17.9,23.87,Kč,"17,90 Kč / 100 g",179.0,,False,,,-25% platí do středy 26. 8.,2026-08-24 - 2026-08-26,https://www.kupi.cz/letak/lidl-letak-od-pondeli-100?page=23&map=211182531,https://img.kupi.cz/kupi/thumbs/anglicka-slanina-pikok-1_170_340.jpg,2026-08-24T19:19:11+02:00
Albert,"Maso, uzeniny a ryby",498582,Anglická slanina Premium Albertovo uzenářství 100 g,anglicka_slanina_premium_albertovo_uzenarstvi,24.9,32.76,Kč,"24,90 Kč / 100 g",249.0,,False,,,-24% zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/albert-supermarket-letak-695?page=18&map=210617781,https://www.kupi.cz/img/no_img/no_discounts.png,2026-08-24T19:15:50+02:00
Billa,"Maso, uzeniny a ryby",17620,Anglická slanina speciál 100 g,anglicka_slanina_special,19.9,24.87,Kč,"19,90 Kč / 100 g",199.0,,False,,,-20% zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/billa-velky-letak-285?map=210902208,https://img.kupi.cz/kupi/thumbs/anglicka-slanina-special_170_340.jpg,2026-08-24T19:17:45+02:00
Lidl,Alkohol,9918,Aperitiv Aperitivo Bitterol 0.7 l,aperitiv_aperitivo_bitterol,129.9,,Kč,"185,57 Kč / 1 l",,,False,,,platí do středy 26. 8.,2026-08-24 - 2026-08-26,https://www.kupi.cz/letak/lidl-letak-od-pondeli-100?page=19&map=211182324,https://img.kupi.cz/kupi/thumbs/aperitiv-bitterol_170_340.jpg,2026-08-24T19:19:31+02:00
Albert,Alkohol,1172,Aperitiv Aperol 0.7 l,aperitiv_aperol,269.0,395.59,Kč,"384,29 Kč / 1 l",,,False,,,-32% zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/albert-supermarket-letak-695?page=31&map=210619362,https://img.kupi.cz/kupi/thumbs/aperitiv-aperol_170_340.jpg,2026-08-24T19:17:13+02:00
Billa,Alkohol,1172,Aperitiv Aperol,aperitiv_aperol,259.8,,Kč,"371,14 Kč / 1 l",,,False,,,zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/billa-velky-letak-285?map=210902235,https://img.kupi.cz/kupi/thumbs/aperitiv-aperol_170_340.jpg,2026-08-24T19:18:38+02:00
Tesco,Alkohol,1172,Aperitiv Aperol 0.7 l,aperitiv_aperol,249.9,316.33,Kč,"357,00 Kč / 1 l",,,True,Clubcard,249.9,-21% Clubcard zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/tesco-hypermarket-letak-362?page=17&map=210632262,https://img.kupi.cz/kupi/thumbs/aperitiv-aperol_170_340.jpg,2026-08-24T19:20:08+02:00
Tesco,Alkohol,1172,Aperitiv Aperol 0.7 l,aperitiv_aperol,249.9,,Kč,"357,00 Kč / 1 l",,,True,Clubcard,249.9,Clubcard zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/tesco-supermarket-letak-408?page=12&map=210635112,https://img.kupi.cz/kupi/thumbs/aperitiv-aperol_170_340.jpg,2026-08-24T19:20:08+02:00
Billa,Alkohol,13170,Aperitiv Bitter Campari 0.7 l,aperitiv_bitter_campari,399.0,,Kč,"570,00 Kč / 1 l",,,False,,,platí do úterý 8. 9.,2026-08-24 - 2026-09-08,https://www.kupi.cz/letak/billa-letak-vino-2?page=8&map=210903309,https://img.kupi.cz/kupi/thumbs/aperitiv-bitter-campari_170_340.png,2026-08-24T19:18:42+02:00
Albert,Alkohol,30106,Aperitiv Martini 0.75 l,aperitiv_martini,209.0,298.57,Kč,"278,67 Kč / 1 l",,,False,,,-30% st 26. 8. – út 1. 9.,2026-08-26 - 2026-09-01,https://www.kupi.cz/letak/albert-hypermarket-letak-646?page=32&map=210927684,https://img.kupi.cz/kupi/thumbs/aperitiv-martini_170_340.jpg,2026-08-24T19:17:21+02:00
Albert,Alkohol,50024,Aperitiv Spritz Mionetto 0.75 l,aperitiv_spritz_mionetto,199.0,248.75,Kč,"265,33 Kč / 1 l",,,False,,,-20% zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/albert-supermarket-letak-695?page=30&map=210619185,https://www.kupi.cz/img/no_img/no_discounts.png,2026-08-24T19:17:28+02:00
Albert,Alkohol,521325,Aperitivo Limonce 0.7 l,aperitivo_limonce,199.0,276.39,Kč,"284,29 Kč / 1 l",,,False,,,-28% st 26. 8. – út 1. 9.,2026-08-26 - 2026-09-01,https://www.kupi.cz/letak/albert-supermarket-letak-696?page=42&map=211179816,https://img.kupi.cz/kupi/thumbs/aperitivo-limonce_170_340.png,2026-08-24T19:17:27+02:00
Billa,Alkohol,521325,Aperitivo Limonce 0.7 l,aperitivo_limonce,199.9,,Kč,"285,57 Kč / 1 l",,,False,,,platí do úterý 8. 9.,2026-08-24 - 2026-09-08,https://www.kupi.cz/letak/billa-letak-tak-dobre-ze-je-radost-grilovat-3?page=10&map=210904107,https://img.kupi.cz/kupi/thumbs/aperitivo-limonce_170_340.png,2026-08-24T19:18:52+02:00
Billa,Alkohol,40647,Aperitivy Cinzano 0.75 l,aperitivy_cinzano,199.9,,Kč,"266,53 Kč / 1 l",,,False,,,platí do úterý 8. 9.,2026-08-24 - 2026-09-08,https://www.kupi.cz/letak/billa-letak-vino-2?page=8&map=210903306,https://img.kupi.cz/kupi/thumbs/aperitivy-cinzano_170_340.png,2026-08-24T19:18:44+02:00
Albert,Mléčné výrobky a vejce,523932,Arašídové máslo 4Slim 500 g,arasidove_maslo_4slim,129.9,188.26,Kč,"25,98 Kč / 100 g",259.8,,False,,,-31% zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/albert-hypermarket-letak-645?page=47&map=210612417,https://www.kupi.cz/img/no_img/no_discounts.png,2026-08-24T19:15:36+02:00
Albert,Ovoce a zelenina,4414,Avokádo 1 ks,avokado,24.9,39.52,Kč,"24,90 Kč / 1 ks",,24.9,False,,,-37% zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/albert-hypermarket-letak-645?page=12&map=210608145,https://img.kupi.cz/kupi/thumbs/avokado_170_340.jpg,2026-08-24T19:15:07+02:00
Billa,Ovoce a zelenina,500961,Avokádo Billa Bonvia Premium 1 ks,avokado,29.9,49.83,Kč,"29,90 Kč / 1 ks",,29.9,False,,,-40% zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/billa-maly-letak-714?page=8&map=210902943,https://img.kupi.cz/kupi/thumbs/avokado-billa-bonvia-premium_170_340.jpg,2026-08-24T19:17:30+02:00
