store,category,product_id,product_name,canonical_product_name,price,old_price,currency,unit_price,price_per_kg,price_per_piece,loyalty_required,loyalty_program,loyalty_price,discount_label,date_range,url,image_url,scraped_at
Billa,Ovoce a zelenina,48012,Brambory konzumní rané Česká farma 1 kg,brambory,9.9,24.75,Kč,"9,90 Kč / 1 kg",9.9,,False,,,-60% zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/billa-velky-letak-285?map=210902205,https://img.kupi.cz/kupi/thumbs/brambory-konzumni-rane-ceska-farma_170_340.jpg,2026-08-24T19:17:30+02:00
Billa,Ovoce a zelenina,303917,Rajčata cherry keříková Čerstvě utrženo 0.25 kg,rajcata_cherry,39.9,59.55,Kč,"159,60 Kč / 1 kg",159.6,,False,,,-33% zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/billa-velky-letak-285?map=210902211,https://img.kupi.cz/kupi/thumbs/rajcata-cherry-kerikova-cerstve-utrzeno_170_340.jpg,2026-08-24T19:17:30+02:00
Billa,Ovoce a zelenina,646,Okurka salátová - hadovka 1 ks,okurka,16.9,27.7,Kč,"16,90 Kč / 1 ks",,16.9,False,,,-39% zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/billa-velky-letak-285?page=8&map=210902337,https://img.kupi.cz/kupi/thumbs/okurka-hadovka_170_340.jpg,2026-08-24T19:17:30+02:00
Billa,Ovoce a zelenina,7077,Borůvky 250 g,boruvky,49.9,99.8,Kč,"19,96 Kč / 100 g",199.6,,False,,,-50% zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/billa-velky-letak-285?page=8&map=210902331,https://img.kupi.cz/kupi/thumbs/boruvky-1_170_340.jpg,2026-08-24T19:17:30+02:00
Billa,Ovoce a zelenina,997,Fíky čerstvé 1 ks,fiky_cerstve,12.9,,Kč,"12,90 Kč / 1 ks",,12.9,False,,,zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/billa-velky-letak-285?page=8&map=210902322,https://img.kupi.cz/kupi/thumbs/fiky-cerstve_170_340.png,2026-08-24T19:17:30+02:00
Billa,Ovoce a zelenina,202749,Paprika červená Billa Bonvia 1 kg,paprika_cervena,54.9,79.57,Kč,"54,90 Kč / 1 kg",54.9,,False,,,-31% zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/billa-velky-letak-285?page=8&map=210902328,https://img.kupi.cz/kupi/thumbs/paprika-cervena-billa-bonvia_170_340.png,2026-08-24T19:17:30+02:00
Billa,Ovoce a zelenina,500961,Avokádo Billa Bonvia Premium 1 ks,avokado,29.9,49.83,Kč,"29,90 Kč / 1 ks",,29.9,False,,,-40% zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/billa-maly-letak-714?page=8&map=210902943,https://img.kupi.cz/kupi/thumbs/avokado-billa-bonvia-premium_170_340.jpg,2026-08-24T19:17:30+02:00
Billa,Ovoce a zelenina,254499,Hrozny bílé Billa Bonvia 1 kg,hrozny,39.9,84.89,Kč,"39,90 Kč / 1 kg",39.9,,False,,,-53% zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/billa-maly-letak-714?map=210902487,https://img.kupi.cz/kupi/thumbs/hrozny-bile-billa-bonvia-1_170_340.jpg,2026-08-24T19:17:30+02:00
Billa,Ovoce a zelenina,522057,Meruňky Billa Bonvia 1 kg,merunky,59.9,89.4,Kč,"59,90 Kč / 1 kg",59.9,,False,,,-33% zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/billa-velky-letak-285?page=6&map=210902313,https://img.kupi.cz/kupi/thumbs/merunky-billa-bonvia_170_340.jpg,2026-08-24T19:17:30+02:00
Billa,Ovoce a zelenina,481731,Broskve Paraguayo Billa Bonvia 1 kg,broskve,44.9,89.8,Kč,"44,90 Kč / 1 kg",44.9,,False,,,-50% zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/billa-velky-letak-285?page=8&map=210902319,https://img.kupi.cz/kupi/thumbs/broskve-paraguayo-billa-bonvia_170_340.jpg,2026-08-24T19:17:30+02:00
Billa,Pečivo,42371,Croissant 7 Days,croissant_days,15.9,24.84,Kč,"19,88 Kč / 100 g",198.8,,True,Billa Club,15.9,-36% Billa Club zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/billa-velky-letak-285?page=9&map=210902373,https://img.kupi.cz/kupi/thumbs/croissant-7-days_170_340.png,2026-08-24T19:17:32+02:00
