store,product_id,product_name,canonical_product_name,price,old_price,currency,unit_price,price_per_kg,price_per_piece,loyalty_required,loyalty_program,loyalty_price,discount_label,date_range,url,image_url,scraped_at
Albert,99,Ananas 1 ks,ananas,49.9,69.31,Kč,"49,90 Kč / 1 ks",,49.9,False,,,-28% dnes končí,2026-08-04,https://www.kupi.cz/letak/albert-supermarket-letak-ostrava-horni-4?page=21&map=209039286,https://img.kupi.cz/kupi/thumbs/ananas-2_170_340.jpg,2026-08-04T18:30:59+02:00
Albert,100890,Borůvky Albert,boruvky,59.9,89.4,Kč,"23,96 Kč / 100 g",239.6,,False,,,-33% dnes končí,2026-08-04,https://www.kupi.cz/letak/albert-hypermarket-letak-642?page=13&map=209024193,https://img.kupi.cz/kupi/thumbs/boruvky-albert-1_170_340.jpg,2026-08-04T18:31:01+02:00
Albert,567219,Bramborové plátky Menu inspirace Albert 450 g,bramborove_platky_menu_inspirace,34.9,39.66,Kč,"7,76 Kč / 100 g",77.6,,False,,,-12% dnes končí,2026-08-04,https://www.kupi.cz/letak/albert-supermarket-letak-ostrava-horni-4?page=42&map=209040066,https://www.kupi.cz/img/no_img/no_discounts.png,2026-08-04T18:31:05+02:00
Albert,506652,Brambory grenaille Menu inspirace Albert 450 g,brambory,29.9,39.87,Kč,"6,64 Kč / 100 g",66.4,,False,,,-25% dnes končí,2026-08-04,https://www.kupi.cz/letak/albert-hypermarket-letak-642?page=34&map=209030136,https://img.kupi.cz/kupi/thumbs/brambory-grenaille-menu-inspirace-albert_170_340.png,2026-08-04T18:31:05+02:00
Albert,13061,Brambory konzumní rané 1 kg,brambory,11.9,29.75,Kč,"11,90 Kč / 1 kg",11.9,,False,,,-60% dnes končí,2026-08-04,https://www.kupi.cz/letak/albert-hypermarket-letak-642?page=12&map=209024157,https://img.kupi.cz/kupi/thumbs/brambory-konzumni-rane_170_340.jpg,2026-08-04T18:30:59+02:00
Albert,510264,Brambory s rozmarýnem Menu inspirace Albert 425 g,brambory,33.9,39.88,Kč,"7,98 Kč / 100 g",79.8,,False,,,-15% dnes končí,2026-08-04,https://www.kupi.cz/letak/albert-supermarket-letak-ostrava-horni-4?page=42&map=209040057,https://img.kupi.cz/kupi/thumbs/brambory-s-rozmarynem-menu-inspirace-albert-1_170_340.jpg,2026-08-04T18:31:05+02:00
Albert,112,Broskve 1 kg,broskve,39.9,79.8,Kč,"39,90 Kč / 1 kg",39.9,,False,,,-50% dnes končí,2026-08-04,https://www.kupi.cz/letak/albert-supermarket-letak-ostrava-horni-4?page=21&map=209039283,https://img.kupi.cz/kupi/thumbs/broskve_170_340.jpg,2026-08-04T18:30:59+02:00
Albert,386647,Celer řapíkatý Albert 1 ks,celer_rapikaty,24.9,34.58,Kč,"24,90 Kč / 1 ks",,24.9,False,,,-28% dnes končí,2026-08-04,https://www.kupi.cz/letak/albert-hypermarket-letak-642?page=12&map=209024160,https://img.kupi.cz/kupi/thumbs/celer-rapikaty-albert-1_170_340.jpg,2026-08-04T18:31:01+02:00
Albert,5977,Cuketa 1 kg,cuketa,29.9,49.83,Kč,"29,90 Kč / 1 kg",29.9,,False,,,-40% dnes končí,2026-08-04,https://www.kupi.cz/letak/albert-supermarket-letak-ostrava-horni-4?page=20&map=209039247,https://img.kupi.cz/kupi/thumbs/cuketa_170_340.jpg,2026-08-04T18:30:59+02:00
Albert,319775,Hrozny bílé bezsemenné Albert 0.5 kg,hrozny,34.9,69.8,Kč,"69,80 Kč / 1 kg",69.8,,True,Můj Albert,34.9,-50% Můj Albert dnes končí,2026-08-04,https://www.kupi.cz/letak/albert-hypermarket-letak-642?map=209044830,https://img.kupi.cz/kupi/thumbs/hrozny-bile-bezsemenne-albert-1_170_340.jpg,2026-08-04T18:31:01+02:00
