store,product_id,product_name,canonical_product_name,price,old_price,currency,unit_price,price_per_kg,price_per_piece,loyalty_required,loyalty_program,loyalty_price,discount_label,date_range,url,image_url,scraped_at
Lidl,706,Květák 1 ks,kvetak,24.9,49.8,Kč,"24,90 Kč / 1 ks",,24.9,False,,,-50% platí do středy 26. 8.,2026-08-24 - 2026-08-26,https://www.kupi.cz/letak/lidl-letak-od-pondeli-100?map=211180296,https://img.kupi.cz/kupi/thumbs/kvetak_170_340.jpg,2026-08-24T16:46:18+02:00
Lidl,387,Švestky,svestky,24.9,49.8,Kč,"24,90 Kč / 1 kg",24.9,,False,,,-50% platí do středy 26. 8.,2026-08-24 - 2026-08-26,https://www.kupi.cz/letak/lidl-letak-od-pondeli-100?map=211180299,https://img.kupi.cz/kupi/thumbs/svestky_170_340.jpg,2026-08-24T16:46:18+02:00
Lidl,3729,Rajčata cherry 0.25 kg,rajcata_cherry,34.9,59.15,Kč,"139,60 Kč / 1 kg",139.6,,False,,,-41% platí do středy 26. 8.,2026-08-24 - 2026-08-26,https://www.kupi.cz/letak/lidl-letak-od-pondeli-100?page=4&map=211180869,https://img.kupi.cz/kupi/thumbs/rajcata-cherry-1_170_340.jpg,2026-08-24T16:46:18+02:00
Lidl,2859,Pomeranče 1 kg,pomerance,29.9,49.83,Kč,"29,90 Kč / 1 kg",29.9,,False,,,-40% platí do středy 26. 8.,2026-08-24 - 2026-08-26,https://www.kupi.cz/letak/lidl-letak-od-pondeli-100?page=13&map=211181055,https://img.kupi.cz/kupi/thumbs/pomerance_170_340.jpg,2026-08-24T16:46:18+02:00
Lidl,914,Cibule kuchyňská žlutá 1 kg,cibule_kuchynska_zluta,9.9,19.8,Kč,"9,90 Kč / 1 kg",9.9,,False,,,-50% platí do středy 26. 8.,2026-08-24 - 2026-08-26,https://www.kupi.cz/letak/lidl-letak-od-pondeli-100?page=13&map=211181022,https://img.kupi.cz/kupi/thumbs/cibule-kuchynska-zluta_170_340.jpg,2026-08-24T16:46:18+02:00
Lidl,1052,Hrozny bílé bezsemenné 0.5 kg,hrozny,27.9,59.36,Kč,"55,80 Kč / 1 kg",55.8,,False,,,-53% čt 27. 8. – ne 30. 8.,2026-08-27 - 2026-08-30,https://www.kupi.cz/letak/lidl-letak-od-ctvrtka-141?map=211179975,https://img.kupi.cz/kupi/thumbs/hrozny-bile-bezsemenne-1_170_340.jpg,2026-08-24T16:46:18+02:00
Lidl,645,Mrkev 1 kg,mrkev,11.9,24.79,Kč,"11,90 Kč / 1 kg",11.9,,False,,,-52% čt 27. 8. – ne 30. 8.,2026-08-27 - 2026-08-30,https://www.kupi.cz/letak/lidl-letak-od-ctvrtka-141?page=15&map=211180518,https://img.kupi.cz/kupi/thumbs/mrkev-2_170_340.jpg,2026-08-24T16:46:18+02:00
Lidl,5977,Cuketa 1 ks,cuketa,6.9,19.71,Kč,"6,90 Kč / 1 ks",,6.9,False,,,-65% čt 27. 8. – ne 30. 8.,2026-08-27 - 2026-08-30,https://www.kupi.cz/letak/lidl-letak-od-ctvrtka-141?page=15&map=211180512,https://img.kupi.cz/kupi/thumbs/cuketa_170_340.jpg,2026-08-24T16:46:18+02:00
Lidl,5977,Cuketa 1 ks,cuketa,9.9,19.8,Kč,"9,90 Kč / 1 ks",,9.9,False,,,-50% čt 27. 8. – ne 30. 8.,2026-08-27 - 2026-08-30,https://www.kupi.cz/letak/lidl-letak-od-ctvrtka-141?page=15&map=211180515,https://img.kupi.cz/kupi/thumbs/cuketa_170_340.jpg,2026-08-24T16:46:18+02:00
Lidl,866,Nektarinky 1 kg,nektarinky,29.9,78.68,Kč,"29,90 Kč / 1 kg",29.9,,False,,,-62% platí do středy 26. 8.,2026-08-24 - 2026-08-26,https://www.kupi.cz/letak/lidl-letak-od-pondeli-100?page=12&map=211180971,https://img.kupi.cz/kupi/thumbs/nektarinky_170_340.png,2026-08-24T16:46:18+02:00
Lidl,112,Broskve 1 kg,broskve,29.9,78.68,Kč,"29,90 Kč / 1 kg",29.9,,False,,,-62% čt 27. 8. – ne 30. 8.,2026-08-27 - 2026-08-30,https://www.kupi.cz/letak/lidl-letak-od-ctvrtka-141?page=14&map=211180488,https://img.kupi.cz/kupi/thumbs/broskve_170_340.jpg,2026-08-24T16:46:18+02:00
Lidl,112,Broskve 1 kg,broskve,34.9,79.32,Kč,"34,90 Kč / 1 kg",34.9,,False,,,-56% čt 27. 8. – ne 30. 8.,2026-08-27 - 2026-08-30,https://www.kupi.cz/letak/lidl-letak-od-ctvrtka-141?page=14&map=211180491,https://img.kupi.cz/kupi/thumbs/broskve_170_340.jpg,2026-08-24T16:46:18+02:00
Lidl,917,Jablka červená Gala 1 kg,jablka,21.9,,Kč,"21,90 Kč / 1 kg",21.9,,False,,,čt 27. 8. – ne 30. 8.,2026-08-27 - 2026-08-30,https://www.kupi.cz/letak/lidl-letak-od-ctvrtka-141?map=211179981,https://img.kupi.cz/kupi/thumbs/jablka-gala-1_170_340.jpg,2026-08-24T16:46:18+02:00
Lidl,917,Jablka červená Gala 1 kg,jablka,24.9,,Kč,"24,90 Kč / 1 kg",24.9,,False,,,čt 27. 8. – ne 30. 8.,2026-08-27 - 2026-08-30,https://www.kupi.cz/letak/lidl-letak-od-ctvrtka-141?map=211179984,https://img.kupi.cz/kupi/thumbs/jablka-gala-1_170_340.jpg,2026-08-24T16:46:18+02:00
Lidl,17336,Meruňky 1 kg,merunky,49.9,89.11,Kč,"49,90 Kč / 1 kg",49.9,,False,,,-44% čt 27. 8. – ne 30. 8.,2026-08-27 - 2026-08-30,https://www.kupi.cz/letak/lidl-letak-od-ctvrtka-141?page=15&map=211180509,https://img.kupi.cz/kupi/thumbs/merunky_170_340.jpg,2026-08-24T16:46:18+02:00
Lidl,45778,Paprika světlá 1 kg,paprika,26.9,59.78,Kč,"26,90 Kč / 1 kg",26.9,,False,,,-55% čt 27. 8. – ne 30. 8.,2026-08-27 - 2026-08-30,https://www.kupi.cz/letak/lidl-letak-od-ctvrtka-141?page=15&map=211180527,https://img.kupi.cz/kupi/thumbs/paprika-svetla-1_170_340.jpg,2026-08-24T16:46:18+02:00
Lidl,997,Fíky čerstvé 1 ks,fiky_cerstve,7.9,19.75,Kč,"7,90 Kč / 1 ks",,7.9,False,,,-60% platí do středy 26. 8.,2026-08-24 - 2026-08-26,https://www.kupi.cz/letak/lidl-letak-od-pondeli-100?page=13&map=211181043,https://img.kupi.cz/kupi/thumbs/fiky-cerstve_170_340.png,2026-08-24T16:46:18+02:00
Lidl,1215,Kukuřice klas 1 ks,kukurice_klas,9.9,24.75,Kč,"9,90 Kč / 1 ks",,9.9,False,,,-60% pá 28. 8. – ne 30. 8.,2026-08-28 - 2026-08-30,https://www.kupi.cz/letak/lidl-letak-od-ctvrtka-141?page=47&map=211185111,https://img.kupi.cz/kupi/thumbs/kukurice-klas_170_340.jpg,2026-08-24T16:46:18+02:00
Lidl,484920,Nektarinky ploché 0.5 kg,nektarinky,39.9,59.55,Kč,"79,80 Kč / 1 kg",79.8,,False,,,-33% pá 28. 8. – ne 30. 8.,2026-08-28 - 2026-08-30,https://www.kupi.cz/letak/lidl-letak-od-ctvrtka-141?page=47&map=211185114,https://img.kupi.cz/kupi/thumbs/nektarinky-ploche_170_340.jpg,2026-08-24T16:46:18+02:00
