canonical_product_name,best_store,best_price,best_unit,best_date_range,dropped_count,increased_count
ananas,Lidl,29.90,/ks,2026-08-20 - 2026-08-23,0,2
avokado,Albert,24.90,/ks,2026-08-17 - 2026-08-18,0,0
avokado_premium,Billa,29.90,/ks,2026-08-17 - 2026-08-18,2,0
banany,Lidl,19.90,/kg,2026-08-17 - 2026-08-19,0,0
boruvky,Billa,139.80,/kg,2026-08-17 - 2026-08-18,1,0
bramborove_hranolky_menu_inspirace,Albert,59.90,/kg,2026-08-19 - 2026-08-25,0,0
bramborove_platky_menu_inspirace,Albert,77.60,/kg,2026-08-19 - 2026-08-25,0,0
brambory,Lidl,8.90,/kg,2026-08-20 - 2026-08-23,0,0
brokolice_menu_inspirace,Albert,166.30,/kg,2026-08-17 - 2026-08-18,0,0
broskve,Albert,32.90,/kg,2026-08-22 - 2026-08-23,0,0
bylinky_v_kvetinaci,,,,,0,0
cesnek,Tesco,99.00,/kg,2026-08-17 - 2026-08-18,0,0
cibule_bio_nature_s_promise,Albert,39.80,/kg,2026-08-17 - 2026-08-18,0,0
cibule_kuchynska_zluta,Tesco,11.90,/kg,2026-08-17 - 2026-08-18,0,0
citrony_bio_nature_s_promise,Albert,99.80,/kg,2026-08-19 - 2026-08-25,0,0
cuketa,Billa,22.90,/kg,2026-08-17 - 2026-08-18,1,0
dyne_hokkaido,Albert,24.90,/kg,2026-08-19 - 2026-08-25,0,0
fiky_cerstve,Lidl,9.90,/ks,2026-08-17 - 2026-08-19,0,0
hrozny,Lidl,34.90,/kg,2026-08-20 - 2026-08-23,1,0
hrusky_zelene,Albert,39.90,/kg,2026-08-19 - 2026-08-25,0,0
jablka,Tesco,24.90,/kg,2026-08-17 - 2026-08-18,0,0
jahody,Albert,159.80,/kg,2026-08-17 - 2026-08-18,0,0
jarni_cibule_svazek,Albert,12.90,/ks,2026-08-19 - 2026-08-25,0,0
kukurice_klas,Tesco,11.90,/ks,2026-08-17 - 2026-08-18,0,0
lilek,Albert,49.90,/kg,2026-08-19 - 2026-08-25,0,0
maliny,Albert,319.20,/kg,2026-08-17 - 2026-08-18,0,0
mandarinky,Albert,49.90,/kg,2026-08-17 - 2026-08-18,0,0
mango,Lidl,24.90,/ks,2026-08-17 - 2026-08-19,0,0
meloun,Tesco,7.90,/kg,2026-08-17 - 2026-08-18,0,4
merunky,Lidl,39.90,/kg,2026-08-17 - 2026-08-19,0,0
mix_do_polevek_a_omacek_menu_inspirace,Albert,112.20,/kg,2026-08-19 - 2026-08-25,0,0
mix_zeleninovy_menu_inspirace,Albert,149.70,/kg,2026-08-17 - 2026-08-18,0,2
mrkev,Albert,19.90,/ks,2026-08-17 - 2026-08-18,0,0
mrkev_kvetak,Albert,149.70,/kg,2026-08-19 - 2026-08-25,0,0
nektarinky,Albert,34.90,/kg,2026-08-19 - 2026-08-25,0,1
okurka,Tesco,14.90,/ks,2026-08-17 - 2026-08-18,0,2
ostruziny,Albert,319.20,/kg,2026-08-19 - 2026-08-25,0,0
paprika,Albert,29.90,/kg,2026-08-17 - 2026-08-18,2,0
paprika_cervena,Albert,49.90,/kg,2026-08-17 - 2026-08-18,0,4
porek,Albert,19.90,/ks,2026-08-17 - 2026-08-18,0,0
rajcata,Billa,99.75,/kg,2026-08-17 - 2026-08-18,0,0
rajcata_cherry,Albert,139.60,/kg,2026-08-17 - 2026-08-18,1,0
rajcata_cherry_kerikova,Lidl,59.00,/kg,2026-08-17 - 2026-08-19,2,0
rajcata_kerikova,Albert,27.90,/kg,2026-08-17 - 2026-08-18,1,0
rukola,Lidl,159.20,/kg,2026-08-20 - 2026-08-23,0,0
salat_baby_listy_mix,Albert,299.00,/kg,2026-08-19 - 2026-08-25,0,0
salat_fresco_mix,Albert,213.60,/kg,2026-08-17 - 2026-08-18,0,0
salat_little_gem_bio_nature_s_promise,Albert,17.45,/ks,2026-08-17 - 2026-08-18,0,0
salat_rodinny_mix,Albert,99.80,/kg,2026-08-17 - 2026-08-18,0,0
svestky,Albert,29.90,/kg,2026-08-17 - 2026-08-18,2,0
zampiony,Lidl,87.20,/kg,2026-08-20 - 2026-08-23,0,0
